"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
48,"Jan Pruszyński",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
7,"Phillip Richmond",1,0,0,0,0,0,0,0,0,0,0,1,0,0.000
25,"Wiktor Wróbel Habuda",1,0,0,0,12,1,3,1,0,0,1,0,0,1.000
22,"Hubert Szczeszka",1,0,0,0,2,1,0,0,0,0,0,0,0,1.000
34,"Ian Waldron",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
18,"Tymofil Zadniprianyi",1,0,0,0,0,1,0,0,0,0,0,0,0,1.000
5,"Igor Sawczuk",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
10,"Julian Gruber",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
57,"Tadeusz Romanowski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,0,0,21,3,3,1,0,0,1,1,0,1.000
