"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
7,"Adam Pepłoński",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
43,"Dobromił Warchoł",1,2,2,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,100.0,100.0,100.0
28,"Kajetan Szafran",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
65,"Yasnier Rivera",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
1,"Piotr Obrębski",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
44,"Jan Różyło",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
10,"Mikołaj Pietrzyk",1,2,2,0,1,0,1,0,0,0,0,0.500,0,0,0,0,0,0,1,0,0,0,0.000,0.500,0.500,0.500,1.000,0.350,0.500,1.000,1.000,0,0,0,0,0,0,0,0.000,50.0,50.0,0.0
31,"Cheng An Cheng",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
4,"Tomasz Buławko",1,2,2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
17,"Konrad Szczepański",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","Onay Perez",1,1,1,0,1,0,1,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,100.0,0.0
"","TOTALS",1,18,18,0,2,0,2,0,0,0,0,0.111,0,1,2,3,0,0,1,0,0,0,0.000,0.111,0.111,0.111,0.222,0.078,0.133,0.833,0.833,0,0,0,0,0,0,0,0.000,22.2,22.2,11.1
