"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
11," Sztejka",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
28," Wójtowicz",1,0,0,0,2,0,3,0,0,0,0,0,0,1.000
9," Charchuła",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
1," Liwoch",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
95," Maciejewski",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
46," Strakhov",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
4,"Bartosz Zera",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
77," Falkowski",1,0,1,1,0,1,0,0,0,0,0,0,0,0.500
27," Medina",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
30,"Krzysztof Zera",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,1,1,12,1,3,0,0,0,0,0,0,0.929
